Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,Tags,Lead Profile,City,A free copy of Mastering The Interview,Last Notable Activity
API,Google,No,No,1,2.0,1017,2.0,Email Opened,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Supply Chain Management,Unemployed,Closed by Horizzon,Other Students,Thane & Outskirts,No,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,SMS Sent
Landing Page Submission,Google,No,No,1,5.0,314,5.0,SMS Sent,Hospitality & Tourism,Student,Will revert after reading the email,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Google,No,No,1,4.0,1046,4.0,SMS Sent,"Banking, Investment And Insurance",Working Professional,Will revert after reading the email,Potential Lead,Other Cities,No,Modified
API,Google,No,No,0,3.0,89,1.5,Olark Chat Conversation,Not Specified,Unemployed,Interested  in full time MBA,Other Leads,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,1.0,1320,1.0,Email Bounced,Marketing & Advertising,Working Professional,Will revert after reading the email,Potential Lead,Other Cities,No,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Other,Student,Will revert after reading the email,Not Specified,Mumbai,No,Email Opened
Lead Add Form,Other,No,No,1,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
API,Google,No,No,0,2.0,340,2.0,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Google,No,No,1,2.0,1349,2.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Google,No,No,0,4.0,1522,4.0,Email Link Clicked,Business Administration,Not Specified,Not Specified,Not Specified,Thane & Outskirts,No,Email Link Clicked
API,Google,No,No,1,3.0,92,1.0,SMS Sent,IT Projects Management,Unemployed,Lost to EINS,Potential Lead,Other Cities,No,Modified
API,Google,No,No,1,5.0,1484,5.0,SMS Sent,Not Specified,Unemployed,Will revert after reading the email,Potential Lead,Not Specified,No,Modified
API,Google,No,No,1,5.0,1030,5.0,SMS Sent,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Not Specified,No,Modified
API,Chat,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,1,9.5,147,2.5,Email Opened,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
API,Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Olark Chat Conversation
Landing Page Submission,Google,No,No,1,3.0,1298,3.0,SMS Sent,Human Resource Management,Not Specified,Not Specified,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Google,No,No,1,9.0,128,4.5,Email Opened,Business Administration,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
Landing Page Submission,Google,No,No,0,4.0,1614,4.0,Email Opened,Marketing & Advertising,Unemployed,switched off,Other Leads,Mumbai,No,Email Opened
API,Organic Search,No,No,0,5.0,271,1.25,Email Opened,Healthcare Management,Not Specified,Not Specified,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,0,3.0,93,1.5,Email Opened,Other,Unemployed,switched off,Not Specified,Thane & Outskirts,No,Email Opened
API,Google,No,No,0,2.0,344,2.0,Olark Chat Conversation,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,5.0,301,5.0,Email Opened,Marketing & Advertising,Unemployed,Ringing,Other Leads,Thane & Outskirts,Yes,Email Opened
API,Google,No,No,0,1.0,200,1.0,Converted to Lead,Supply Chain Management,Unemployed,Interested in other courses,Other Leads,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,4.0,234,4.0,Olark Chat Conversation,Operations Management,Not Specified,Not Specified,Not Specified,Mumbai,No,Olark Chat Conversation
API,Google,No,No,0,4.0,1065,2.0,Email Opened,IT Projects Management,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,Supply Chain Management,Working Professional,Will revert after reading the email,Not Specified,Not Specified,No,SMS Sent
API,Google,No,No,1,2.0,1554,2.0,Email Opened,Finance & Banking,Working Professional,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Email Opened
API,Google,No,No,0,2.0,371,2.0,Converted to Lead,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,Yes,No,0,5.0,1313,1.67,Unreachable,Human Resource Management,Unemployed,Ringing,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Google,Yes,No,0,5.0,1287,2.5,Page Visited on Website,Business Administration,Unemployed,Ringing,Not Specified,Mumbai,Yes,Modified
API,Chat,No,No,0,0.0,0,0.0,Page Visited on Website,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Page Visited on Website
Landing Page Submission,Direct Traffic,No,No,0,3.0,413,3.0,Email Opened,Marketing & Advertising,Unemployed,switched off,Not Specified,Mumbai,Yes,Modified
API,Direct Traffic,No,No,1,9.5,20,2.6,Other,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Other
Landing Page Submission,Direct Traffic,No,No,1,9.0,382,4.5,Email Opened,Hospitality & Tourism,Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,4.0,166,4.0,Email Opened,Not Specified,Unemployed,Will revert after reading the email,Not Specified,Mumbai,No,Modified
Landing Page Submission,Organic Search,No,No,1,3.0,312,1.5,Email Link Clicked,Other,Working Professional,Will revert after reading the email,Not Specified,Mumbai,Yes,Email Link Clicked
Landing Page Submission,Organic Search,Yes,No,0,3.0,1629,3.0,Other,Hospitality & Tourism,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,4.0,349,4.0,Page Visited on Website,International Business,Unemployed,Ringing,Not Specified,Mumbai,No,Page Visited on Website
Landing Page Submission,Direct Traffic,No,No,1,9.5,998,2.17,SMS Sent,Healthcare Management,Working Professional,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,2.0,144,2.0,SMS Sent,E-Commerce,Unemployed,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,0,4.0,213,4.0,Email Opened,Healthcare Management,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,7.0,151,1.4,Email Opened,"Banking, Investment And Insurance",Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,0,3.0,1157,3.0,Email Opened,Business Administration,Unemployed,switched off,Other Leads,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,3.0,1087,1.5,SMS Sent,Finance & Banking,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
API,Google,No,No,1,3.0,992,3.0,SMS Sent,Not Specified,Unemployed,Will revert after reading the email,Not Specified,Not Specified,No,SMS Sent
API,Google,No,No,0,1.0,176,1.0,Converted to Lead,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,0,4.0,329,4.0,Email Opened,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Email Opened
Landing Page Submission,Google,No,No,0,2.0,1269,2.0,Email Opened,Not Specified,Unemployed,Interested in other courses,Not Specified,Mumbai,No,Modified
Lead Add Form,Referral,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Ringing,Potential Lead,Thane & Outskirts,No,Email Opened
Landing Page Submission,Google,No,No,1,8.0,1391,2.67,Email Opened,Business Administration,Working Professional,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,0,5.0,415,5.0,Email Opened,Business Administration,Not Specified,Not Specified,Not Specified,Other Cities,No,Email Opened
Lead Add Form,Referral,No,No,1,3.0,1129,2.0,Unknown,Not Specified,Unemployed,Closed by Horizzon,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,158,1.0,Email Link Clicked,Not Specified,Unemployed,Already a student,Student of SomeSchool,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,4.0,82,4.0,Page Visited on Website,Hospitality & Tourism,Unemployed,Interested in other courses,Not Specified,Other Metro Cities,Yes,Modified
Landing Page Submission,Organic Search,No,No,1,7.0,1242,3.5,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,4.0,1236,4.0,Page Visited on Website,Marketing & Advertising,Unemployed,Ringing,Not Specified,Mumbai,Yes,Modified
API,Google,No,No,1,2.0,1696,2.0,Email Opened,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Email Opened
API,Chat,No,No,0,2.0,267,1.0,Form Submitted on Website,Marketing & Advertising,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Organic Search,No,No,1,4.0,344,4.0,Email Opened,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
API,Organic Search,No,No,0,9.5,1278,4.0,Page Visited on Website,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Page Visited on Website
API,Chat,No,No,0,0.0,0,0.0,Email Opened,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Email Opened
API,Google,No,No,1,2.0,915,2.0,Email Opened,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,240,2.0,Email Opened,IT Projects Management,Unemployed,Interested in other courses,Potential Lead,Other Cities,No,Modified
API,Google,No,No,1,2.0,1196,2.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
API,Google,No,No,1,3.0,25,3.0,SMS Sent,Not Specified,Working Professional,Will revert after reading the email,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Organic Search,No,No,0,4.0,229,2.0,Email Opened,Supply Chain Management,Not Specified,Not Specified,Not Specified,Other Cities,No,Email Opened
Landing Page Submission,Google,No,No,0,6.0,422,6.0,SMS Sent,Human Resource Management,Unemployed,Busy,Not Specified,Other Cities,No,Modified
API,Organic Search,No,No,1,7.0,998,1.75,SMS Sent,Not Specified,Unemployed,switched off,Not Specified,Not Specified,No,SMS Sent
API,Google,No,No,1,3.0,1557,3.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Other Leads,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,1,7.0,1380,7.0,Email Opened,Business Administration,Unemployed,Busy,Other Leads,Other Metro Cities,Yes,Email Opened
API,Google,No,No,1,3.0,318,3.0,Email Opened,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Email Opened
API,Google,No,No,0,2.0,884,2.0,Page Visited on Website,Not Specified,Unemployed,Interested  in full time MBA,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,5.0,1656,5.0,SMS Sent,Marketing & Advertising,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,0,8.0,94,7.0,Email Opened,Human Resource Management,Unemployed,switched off,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,1,7.0,940,7.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,2.0,1558,2.0,SMS Sent,Supply Chain Management,Working Professional,Will revert after reading the email,Not Specified,Thane & Outskirts,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,4.0,1052,4.0,Email Opened,Operations Management,Unemployed,Not Specified,Not Specified,Other Metro Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,1,3.0,1030,3.0,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Modified
Landing Page Submission,Google,No,No,1,9.0,127,3.0,SMS Sent,Finance & Banking,Working Professional,Will revert after reading the email,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,7.0,522,7.0,Email Opened,Supply Chain Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Email Opened
Landing Page Submission,Google,No,No,0,9.5,1159,2.5,Page Visited on Website,Finance & Banking,Not Specified,Not Specified,Not Specified,Thane & Outskirts,No,Modified
Landing Page Submission,Organic Search,No,No,0,6.0,1243,6.0,Email Opened,Human Resource Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Healthcare Management,Student,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,3.0,1349,1.5,Email Opened,Human Resource Management,Not Specified,Not Specified,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,0,2.0,151,2.0,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,Marketing & Advertising,Unemployed,Closed by Horizzon,Potential Lead,Not Specified,No,Modified
API,Google,No,No,1,2.0,1025,2.0,Form Submitted on Website,Business Administration,Unemployed,Busy,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Organic Search,No,No,1,9.5,1804,2.67,Email Opened,Marketing & Advertising,Unemployed,Not Specified,Not Specified,Mumbai,Yes,Email Opened
Landing Page Submission,Google,No,No,1,5.0,1388,1.67,SMS Sent,Business Administration,Unemployed,Busy,Not Specified,Mumbai,Yes,Modified
API,Google,No,No,0,2.0,1260,2.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Marketing & Advertising,Unemployed,Closed by Horizzon,Potential Lead,Not Specified,No,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,SMS Sent,Not Specified,Unemployed,Lost to EINS,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,1,4.0,1425,4.0,SMS Sent,IT Projects Management,Unemployed,Not Specified,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,6.0,34,3.0,Unreachable,IT Projects Management,Not Specified,Not Specified,Not Specified,Other Cities,Yes,Modified
Lead Add Form,Referral,No,No,1,3.0,1413,2.0,Email Bounced,Not Specified,Unemployed,Closed by Horizzon,Not Specified,Not Specified,No,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Working Professional,Closed by Horizzon,Potential Lead,Not Specified,No,Modified
Lead Add Form,Referral,No,No,1,3.0,1261,2.0,Unknown,Not Specified,Unemployed,Closed by Horizzon,Not Specified,Not Specified,No,Modified
API,Google,No,No,1,3.0,684,3.0,Email Opened,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,4.0,66,1.33,Email Opened,IT Projects Management,Unemployed,Ringing,Not Specified,Other Cities,Yes,Email Opened
API,Google,No,No,1,2.0,1113,2.0,Email Opened,Not Specified,Unemployed,Will revert after reading the email,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Google,No,No,1,5.0,651,2.5,Email Opened,Human Resource Management,Not Specified,Lost to EINS,Not Specified,Mumbai,No,Modified
Lead Add Form,Referral,No,No,1,0.0,0,0.0,Email Link Clicked,Other,Unemployed,Closed by Horizzon,Potential Lead,Thane & Outskirts,No,Modified
API,Google,No,No,0,2.0,433,2.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,910,1.0,Olark Chat Conversation,Marketing & Advertising,Unemployed,Interested in other courses,Potential Lead,Thane & Outskirts,No,Modified
Landing Page Submission,Google,No,No,0,5.0,8,2.5,SMS Sent,Operations Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,No,Modified
Landing Page Submission,Google,No,No,0,4.0,310,4.0,SMS Sent,Human Resource Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,No,Modified
Lead Add Form,Referral,Yes,No,1,3.0,1606,2.0,Email Bounced,Finance & Banking,Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,9.0,280,3.0,Email Opened,Business Administration,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Email Opened
API,Organic Search,No,No,1,7.0,1141,1.75,Olark Chat Conversation,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Olark Chat Conversation
Landing Page Submission,Organic Search,No,No,1,4.0,95,4.0,Email Opened,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Google,No,No,0,4.0,10,4.0,SMS Sent,Human Resource Management,Not Specified,Not Specified,Not Specified,Other Cities,No,Modified
API,Google,No,No,1,3.0,1376,3.0,SMS Sent,Not Specified,Unemployed,Will revert after reading the email,Not Specified,Not Specified,No,SMS Sent
API,Chat,No,No,1,9.5,1677,2.09,Olark Chat Conversation,Business Administration,Unemployed,Not Specified,Not Specified,Other Metro Cities,No,Olark Chat Conversation
API,Google,No,No,1,5.0,908,1.67,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,3.0,89,3.0,SMS Sent,"Banking, Investment And Insurance",Not Specified,Not Specified,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,1,5.0,934,2.5,SMS Sent,Marketing & Advertising,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
Lead Add Form,Referral,No,No,1,2.0,961,2.0,Unreachable,IT Projects Management,Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Other
API,Google,No,No,1,2.0,1328,1.0,SMS Sent,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,SMS Sent
API,Chat,Yes,No,1,0.0,0,0.0,Email Bounced,Not Specified,Not Specified,Lost to EINS,Not Specified,Not Specified,No,Modified
Landing Page Submission,Organic Search,No,No,1,5.0,1728,5.0,SMS Sent,IT Projects Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Google,No,No,1,3.0,1713,3.0,Email Opened,IT Projects Management,Unemployed,Not Specified,Not Specified,Mumbai,No,Email Opened
API,Google,No,No,0,2.0,393,2.0,Olark Chat Conversation,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,108,2.0,Page Visited on Website,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Google,No,No,1,4.0,1279,2.0,SMS Sent,Not Specified,Unemployed,Will revert after reading the email,Not Specified,Not Specified,No,SMS Sent
Landing Page Submission,Direct Traffic,No,No,0,4.0,99,2.0,SMS Sent,Human Resource Management,Unemployed,Ringing,Not Specified,Mumbai,Yes,Modified
API,Google,No,No,0,2.0,1161,2.0,Page Visited on Website,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,9.5,887,1.43,Email Opened,Business Administration,Not Specified,Not Specified,Not Specified,Mumbai,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,9.0,41,2.25,Page Visited on Website,Business Administration,Not Specified,Not Specified,Not Specified,Mumbai,No,Page Visited on Website
Landing Page Submission,Google,No,No,1,5.0,1421,5.0,SMS Sent,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Modified
API,Google,No,No,1,9.5,830,2.4,Email Opened,E-Commerce,Unemployed,Closed by Horizzon,Potential Lead,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,0,5.0,1027,5.0,Page Visited on Website,Other,Unemployed,Interested in other courses,Not Specified,Other Cities,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,5.0,1757,2.5,SMS Sent,Finance & Banking,Unemployed,Ringing,Not Specified,Mumbai,No,Modified
Landing Page Submission,Google,No,No,0,8.0,137,4.0,Email Opened,Marketing & Advertising,Not Specified,Not Specified,Not Specified,Other Metro Cities,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,3.0,1873,1.5,Email Opened,Supply Chain Management,Unemployed,switched off,Not Specified,Mumbai,Yes,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,281,2.0,Email Opened,Other,Unemployed,Interested in other courses,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,5.0,94,5.0,SMS Sent,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,5.0,118,5.0,Email Opened,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,3.0,182,3.0,SMS Sent,Retail Management,Not Specified,Not Specified,Not Specified,Thane & Outskirts,Yes,Modified
Landing Page Submission,Google,No,No,0,8.0,262,7.0,Email Opened,Business Administration,Unemployed,Interested in other courses,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,1,4.0,45,4.0,SMS Sent,Human Resource Management,Unemployed,Busy,Not Specified,Other Cities,No,Modified
API,Google,No,No,0,1.0,257,1.0,Unreachable,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Google,No,No,1,5.0,3,2.5,SMS Sent,Operations Management,Working Professional,Will revert after reading the email,Not Specified,Mumbai,No,SMS Sent
Landing Page Submission,Google,No,No,0,3.0,264,3.0,Email Opened,Marketing & Advertising,Unemployed,Ringing,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,0,4.0,768,4.0,Email Opened,Human Resource Management,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,2.0,133,2.0,SMS Sent,Finance & Banking,Unemployed,Already a student,Not Specified,Mumbai,Yes,Modified
Landing Page Submission,Google,No,No,1,3.0,354,3.0,SMS Sent,International Business,Unemployed,Closed by Horizzon,Not Specified,Other Cities,No,Modified
Landing Page Submission,Google,No,No,0,5.0,740,2.5,Page Visited on Website,Human Resource Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,No,Page Visited on Website
Landing Page Submission,Direct Traffic,Yes,No,0,9.5,297,7.0,Page Visited on Website,IT Projects Management,Unemployed,Not Specified,Not Specified,Other Cities,Yes,Modified
API,Chat,No,No,1,4.0,40,2.0,Page Visited on Website,Not Specified,Unemployed,Not Specified,Not Specified,Not Specified,No,Page Visited on Website
API,Chat,No,No,0,3.0,406,1.5,Email Link Clicked,IT Projects Management,Unemployed,Not Specified,Not Specified,Other Cities,Yes,Modified
Landing Page Submission,Google,No,No,0,4.0,1222,4.0,Email Opened,Operations Management,Unemployed,Ringing,Not Specified,Thane & Outskirts,No,Email Opened
Landing Page Submission,Google,No,No,1,7.0,70,7.0,Other,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Potential Lead,Mumbai,No,Other
API,Google,No,No,1,4.0,1494,4.0,Email Opened,Operations Management,Unemployed,Will revert after reading the email,Potential Lead,Thane & Outskirts,No,Email Opened
API,Google,No,No,1,3.0,739,3.0,Email Opened,Business Administration,Student,Will revert after reading the email,Potential Lead,Mumbai,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,1,3.0,802,3.0,SMS Sent,Supply Chain Management,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
Landing Page Submission,Direct Traffic,No,No,1,2.0,835,2.0,SMS Sent,Marketing & Advertising,Unemployed,Will revert after reading the email,Not Specified,Mumbai,Yes,SMS Sent
API,Direct Traffic,No,No,0,5.0,129,2.5,Olark Chat Conversation,Not Specified,Unemployed,Interested in other courses,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,5.0,129,2.5,Olark Chat Conversation,International Business,Unemployed,Interested in other courses,Not Specified,Mumbai,No,Modified
Landing Page Submission,Google,No,No,0,4.0,266,4.0,Email Opened,E-Commerce,Not Specified,Not Specified,Not Specified,Mumbai,No,Email Opened
Landing Page Submission,Google,No,No,0,3.0,260,3.0,SMS Sent,Retail Management,Unemployed,Busy,Other Leads,Mumbai,No,Modified
API,Google,No,No,0,2.0,200,2.0,Email Link Clicked,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,3.0,349,3.0,Email Opened,IT Projects Management,Unemployed,Ringing,Not Specified,Other Metro Cities,Yes,Email Opened
Landing Page Submission,Google,No,No,0,2.0,774,2.0,Email Opened,Marketing & Advertising,Working Professional,Interested  in full time MBA,Not Specified,Mumbai,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,3.0,1359,3.0,Page Visited on Website,Marketing & Advertising,Unemployed,Interested in other courses,Other Leads,Mumbai,Yes,Modified
Landing Page Submission,Organic Search,No,No,1,3.0,209,3.0,Other,Human Resource Management,Unemployed,Will revert after reading the email,Potential Lead,Mumbai,Yes,Modified
API,Google,No,No,0,6.0,648,6.0,Page Visited on Website,Not Specified,Unemployed,Ringing,Not Specified,Not Specified,No,Modified
API,Google,No,No,0,2.0,1099,2.0,Page Visited on Website,Not Specified,Unemployed,switched off,Not Specified,Not Specified,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,3.0,143,3.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Ringing,Not Specified,Other Cities,No,Modified
Landing Page Submission,Google,Yes,No,0,7.0,720,3.5,Other,Supply Chain Management,Unemployed,switched off,Not Specified,Mumbai,No,Modified
Landing Page Submission,Organic Search,No,No,0,5.0,1204,5.0,Email Opened,Other,Not Specified,Not Specified,Not Specified,Other Cities,Yes,Email Opened
Landing Page Submission,Organic Search,No,No,0,3.0,291,3.0,Page Visited on Website,Hospitality & Tourism,Unemployed,Interested  in full time MBA,Other Leads,Other Metro Cities,Yes,Modified
Landing Page Submission,Google,No,No,0,9.5,1428,6.0,Page Visited on Website,Hospitality & Tourism,Unemployed,Already a student,Not Specified,Thane & Outskirts,Yes,Modified
Landing Page Submission,Direct Traffic,No,No,0,2.0,447,2.0,Email Opened,Finance & Banking,Student,Already a student,Student of SomeSchool,Other Cities,Yes,Email Opened
API,Google,No,No,0,3.0,355,3.0,Email Opened,Healthcare Management,Working Professional,Interested in other courses,Potential Lead,Thane & Outskirts,No,Modified
Landing Page Submission,Direct Traffic,No,No,0,3.0,313,3.0,Email Opened,IT Projects Management,Unemployed,Ringing,Not Specified,Mumbai,Yes,Modified
API,Google,No,No,1,6.0,1134,6.0,Page Visited on Website,Marketing & Advertising,Unemployed,Will revert after reading the email,Other Leads,Mumbai,No,Modified
API,Chat,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Will revert after reading the email,Not Specified,Not Specified,No,Email Opened
Landing Page Submission,Direct Traffic,No,No,0,3.0,2,3.0,Email Opened,Marketing & Advertising,Unemployed,Interested  in full time MBA,Not Specified,Other Metro Cities,Yes,Email Opened
